Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN1489_CHICHI_TCU049-E,7.62,3.76,3.76,487.27,0.27873,53.5456,74.26431,0.19582,0.03117,9.15498,16.99348,1.34702,0.0522,7542.81577,1344.51708,0.21874,115.57291,108.96596,0.19281,46.31146,0.2794,0.16222,43.08609,2.01724,25.56168,0.26626,1.06779,3.18,51.08062,0.47079 [non pulse-like]
RSN1489_CHICHI_TCU049-N,7.62,3.76,3.76,487.27,0.24422,62.31547,49.47527,0.2601,0.03143,10.30861,13.73181,1.36967,0.05285,9563.53619,1377.67349,0.2277,106.56577,109.4877,0.21217,34.31086,0.23472,0.15239,48.3881,1.92018,22.53465,0.265,1.11256,3.98,38.62115,0.54519 [non pulse-like]
RSN1491_CHICHI_TCU051-E,7.62,7.64,7.64,350.06,0.16021,53.84242,73.89043,0.34259,0.02992,8.87169,14.70821,1.24166,0.0491,7083.23393,1419.07535,0.17874,108.3356,105.28891,0.15195,39.1455,0.16116,0.11343,41.90135,1.73007,26.8281,0.24543,1.10324,2.9,52.20058,0.47092 [non pulse-like]
RSN1491_CHICHI_TCU051-N,7.62,7.64,7.64,350.06,0.23532,41.75316,44.53338,0.18087,0.0292,10.08038,12.91847,1.18263,0.04734,9144.75504,1373.36469,0.17925,122.04329,119.2503,0.15747,34.28202,0.2334,0.13602,47.94944,1.36553,33.51572,0.27263,1.04292,3.94,40.09411,0.41063 [non pulse-like]
RSN1492_CHICHI_TCU052-E,7.62,0,0.66,579.1,0.35755,151.20861,210.4418,0.43109,0.04544,26.46945,42.88819,2.86347,0.09189,63053.35781,1803.4138,0.21005,324.09452,384.31713,0.27291,112.82225,0.35879,0.26888,260.36436,0.90237,12.08987,0.70745,1.46017,2.46,146.16951,0.48779 [non pulse-like]
RSN1492_CHICHI_TCU052-N,7.62,0,0.66,579.1,0.44691,172.33202,226.58103,0.39308,0.04593,29.94009,63.12554,2.92545,0.09338,80672.31836,1697.56442,0.27491,388.81629,421.92301,0.159,124.34027,0.44211,0.3477,197.02367,0.77107,9.98141,0.82184,1.34697,2.34,169.27929,0.50121 [non pulse-like]
RSN1493_CHICHI_TCU053-E,7.62,5.95,5.95,454.55,0.2294,39.59921,65.00904,0.17596,0.02601,7.78715,15.34196,0.93848,0.0398,5457.27662,1102.14797,0.22433,102.87421,93.0538,0.18139,37.73923,0.23165,0.15622,38.60375,0.95518,28.57512,0.22857,0.80225,3.16,38.96377,0.41792 [non pulse-like]
RSN1493_CHICHI_TCU053-N,7.62,5.95,5.95,454.55,0.13459,46.31838,49.41667,0.35082,0.02103,10.10388,12.93017,0.61333,0.02893,9187.43616,997.00636,0.11813,77.00125,82.12038,0.12969,38.92965,0.13568,0.0973,58.56991,0.49167,22.17641,0.18847,0.65167,3.98,33.28702,0.47893 [non pulse-like]
RSN1496_CHICHI_TCU056-E,7.62,10.48,10.48,403.2,0.15636,42.87892,54.91786,0.27954,0.02528,7.83723,11.97041,0.88654,0.03814,5527.68263,1225.81977,0.14342,103.6695,102.01907,0.11957,33.87396,0.15647,0.09257,33.83093,0.86578,29.22011,0.23108,0.91922,3.44,40.4749,0.43110 [non pulse-like]
RSN1496_CHICHI_TCU056-N,7.62,10.48,10.48,403.2,0.1431,39.56094,47.67371,0.28181,0.02448,10.56801,12.57174,0.83114,0.03634,10050.89108,1235.33746,0.12867,92.45119,95.05458,0.12856,36.12289,0.1421,0.09058,51.60477,0.64734,31.9021,0.2144,0.87801,3.84,39.33025,0.41700 [non pulse-like]
RSN1498_CHICHI_TCU059-E,7.62,17.11,17.11,272.67,0.16016,51.37951,46.98659,0.32702,0.03343,11.88666,13.84866,1.5502,0.058,12715.63223,1726.20381,0.14283,125.46557,127.98208,0.15338,46.72012,0.15994,0.11515,50.06072,1.06706,34.11442,0.27772,1.39152,3.1,50.92054,0.39055 [non pulse-like]
RSN1498_CHICHI_TCU059-N,7.62,17.11,17.11,272.67,0.16519,53.51476,45.08262,0.33023,0.03228,12.92795,14.71632,1.4448,0.05501,15041.04527,1656.81892,0.14808,143.27408,142.93205,0.12059,48.50431,0.16514,0.10358,61.69978,0.99737,31.46307,0.29607,1.33538,3.98,51.72982,0.41440 [non pulse-like]
RSN1501_CHICHI_TCU063-E,7.62,9.78,9.78,476.14,0.1825,43.98047,43.68283,0.24566,0.03239,12.56413,14.27722,1.45511,0.05531,14206.38418,1675.39601,0.16162,154.11391,162.5627,0.15749,41.99783,0.18194,0.11862,81.43903,0.96469,38.62017,0.34143,1.32407,3.98,42.71006,0.45497 [non pulse-like]
RSN1501_CHICHI_TCU063-N,7.62,9.78,9.78,476.14,0.13259,82.82981,52.68968,0.63681,0.02882,13.40042,12.50468,1.15178,0.04641,16160.51765,1449.29135,0.10342,132.5213,152.7263,0.12821,47.60896,0.13228,0.09971,126.2015,0.69604,17.8098,0.28473,1.11532,3.66,76.39452,0.69677 [pulse-like]
RSN1502_CHICHI_TCU064-E,7.62,16.59,16.59,645.72,0.11133,42.71187,41.33617,0.39108,0.01822,10.28106,13.66542,0.46034,0.02333,9512.49176,873.05329,0.07451,94.69976,97.82098,0.08535,33.56347,0.1115,0.07537,75.27522,0.2153,21.16866,0.19217,0.51252,3.92,41.58494,0.51371 [non pulse-like]
RSN1502_CHICHI_TCU064-N,7.62,16.59,16.59,645.72,0.11574,55.31159,59.16019,0.48714,0.01992,13.52325,15.13797,0.55053,0.02668,16458.14199,975.75563,0.07992,88.24972,95.10655,0.08836,42.54999,0.11573,0.07327,75.85336,0.20498,18.21115,0.1957,0.58601,3.98,43.66709,0.45991 [non pulse-like]
